RA	P1	P2	P3	FaltasP1	FaltasP2	Faltas	MF
119228	8.75	10.00		0	0	0	5.63
138347	9.50	8.50		3	2	5	5.40
147114	5.75	4.75		2	1	3	3.15
154954	8.50	8.00		3	0	3	4.95
155766	1.50	0.00		4	5	9	0.45
157276	0.00	3.75		4	1	5	1.13
158365	2.75	7.75		1	1	2	3.15
165150	5.25	0.75		1	1	2	1.80
168614	10.00	5.75		2	2	4	4.73
170789	6.50	10.00		0	0	0	4.95
170882	5.00	2.75		3	0	3	2.33
171889	5.25	5.25		5	1	6	3.15
173019	0.00	0.00		4	4	8	0.00
174763	3.50	4.75		0	1	1	2.48
175238	2.25	2.50		7	0	7	1.43
175247	5.25	5.25		4	1	5	3.15
175615	7.25	8.75		0	1	1	4.80
175913	4.25	1.75		0	2	2	1.80
177349	8.75	8.00		1	4	5	5.03
183800	4.50	5.25		1	2	3	2.93
183848	5.25	5.75		3	1	4	3.30
183883	6.25	7.25		2	1	3	4.05
184050	3.25	3.50		0	2	2	2.03
184679	6.00	1.50		1	1	2	2.25
185451	6.25	2.75		0	0	0	2.70
186109	7.00	6.75		0	2	2	4.13
194478	6.25	8.50		0	0	0	4.43
